Type,Name,DPI3,DPI4,DPI5
Upstream,HNF1A,6.662,7.525,6.657
Functional,Transport of molecule,6.524,7.374,6.672
Functional,Size of body,,6.96,5.399
Upstream,HNF4A,6.242,5.885,6.026
Canonical,DHCR24 Signaling Pathway,5.292,5.568,5.477
Functional,Fatty acid metabolism,5.056,5.509,4.879
Functional,Engulfment of cells,4.336,5.451,4.87
Functional,Endocytosis,3.84,5.345,4.75
Upstream,LHX1,4.597,5.29,4.642
Upstream,interferon alpha,3.472,5.163,4.695
Upstream,NONO,4.202,5.148,4.952
Canonical,LXR/RXR Activation,4.914,5.112,5.014
Canonical,Complement cascade,4.472,5.099,4.69
Canonical,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs,4.359,5.099,4.472
Upstream,PRL,3.988,5.072,4.875
Upstream,CHROMR,3.704,5.043,4.843
Functional,Endocytosis by eukaryotic cells,4.032,4.99,4.57
Upstream,STING1,3.799,4.973,4.788
Upstream,IFNA2,4.377,4.969,4.91
Upstream,IFN beta,3.976,4.939,4.65
Functional,Cell movement,,4.876,4.074
Upstream,STAT1,3.906,4.87,4.475
Upstream,IFNL1,4.044,4.816,4.719
Upstream,IRF7,4.023,4.777,4.676
Functional,Migration of cells,,4.693,4.006
Canonical,Post-translational protein phosphorylation,4,4.69,4.123
Upstream,IL27,3.526,4.652,4.346
Functional,Activation of cells,2.367,4.586,3.704
Upstream,SMARCAL1,3.873,4.583,4.123
Upstream,CEBPB,4.19,4.541,4.144
Upstream,IFN type 1,3.504,4.465,4.357
Upstream,IFNG,3.34,4.44,4.399
Functional,Transport of lipid,4.269,4.438,4.038
Upstream,RIPK2,3.3,4.426,4.2
Functional,Engulfment of blood cells,3.214,4.383,3.854
Canonical,Response to elevated platelet cytosolic Ca2+,4.359,4.359,4.359
Canonical,"Plasma lipoprotein assembly, remodeling, and clearance",3.873,4.359,4.123
Canonical,"Transport of bile salts and organic acids, metal ions and amine compounds",3.873,4.359,4
Functional,Internalization of cells,3.265,4.292,3.852
Upstream,MAVS,2.934,4.258,3.774
Upstream,IRF3,3.517,4.252,4.134
Functional,Immune response of cells,3.153,4.246,3.923
Functional,Coordination,,4.244,
Upstream,RNY3,3.606,4.243,4.243
Upstream,SPI1,3.45,4.221,3.86
Functional,Chemotaxis of leukocytes,,4.206,3.468
Functional,Engulfment of leukocytes,,4.154,
Canonical,Atherosclerosis Signaling,3.873,4.123,3.873
Canonical,Transport of inorganic cations/anions and amino acids/oligopeptides,3.317,4.123,3.464
Upstream,IFNAR1,3.06,4.101,3.863
Upstream,NFkB (complex),3.828,4.078,3.697
Upstream,TLR9,3.25,4.047,3.794
Functional,Phagocytosis of blood cells,3.034,4.036,3.689
Upstream,IGF1,,4.03,2.463
Functional,Secretion of molecule,4.145,4.017,3.824
Functional,Engulfment of myeloid cells,,4.014,3.668
Canonical,Interferon alpha/beta signaling,3.317,4,4
Canonical,Neutrophil degranulation,3.162,4,3.606
Upstream,TGM2,3,4,3.742
Canonical,Synaptogenesis Signaling Pathway,2.646,4,2.236
Upstream,MYD88,3.092,3.998,3.495
Functional,Release of lipid,3.101,3.957,3.598
Functional,Export of molecule,3.418,3.944,3.241
Functional,Engulfment of phagocytes,3.067,3.931,3.578
Functional,Phagocytosis of cells,3.212,3.919,3.844
Upstream,RIGI,2.922,3.886,3.503
Canonical,G alpha (i) signalling events,2.646,3.873,3
Functional,Activation of blood cells,1.86,3.84,3.163
Upstream,TNIK,3.283,3.835,3.835
Upstream,APP,3.499,3.827,3.582
Functional,Phagocytosis of leukocytes,,3.786,3.417
Upstream,IL1A,,3.775,3.35
