"Gene","lfc","p","padj","Timepoint","DPI","Significant","Regulation"
"MX1",3.37920446773473,9.19643908569458e-21,4.61661242101868e-18,"3 DPI",3,TRUE,"Up"
"IFI44",3.74272700654203,2.33512221568754e-19,5.86115676137572e-17,"3 DPI",3,TRUE,"Up"
"IFIT2",3.66209787521183,3.22819164035169e-18,5.4018406781885e-16,"3 DPI",3,TRUE,"Up"
"IFIT1",3.74313465045389,3.03709317387137e-17,3.81155193320857e-15,"3 DPI",3,TRUE,"Up"
"OAS3",2.93146135199506,4.52677256886994e-17,4.54487965914542e-15,"3 DPI",3,TRUE,"Up"
"IFIT3",3.73218389843357,8.51800471568699e-17,7.12673061212478e-15,"3 DPI",3,TRUE,"Up"
"OAS2",3.05577616211045,1.60342426142439e-15,1.14988425605007e-13,"3 DPI",3,TRUE,"Up"
"DDX58",2.19743502109992,2.28047026839127e-15,1.43099509341552e-13,"3 DPI",3,TRUE,"Up"
"MX2",2.63958537995566,6.11667885373087e-15,3.41174753841433e-13,"3 DPI",3,TRUE,"Up"
"TNFSF13B",1.92454456747474,1.33323552888779e-13,6.6928423550167e-12,"3 DPI",3,TRUE,"Up"
"STAT2",1.89903058815425,8.09201983337049e-11,3.69290359668362e-09,"3 DPI",3,TRUE,"Up"
"IFIH1",2.04519054432449,2.4894109454011e-10,1.04140357882613e-08,"3 DPI",3,TRUE,"Up"
"OAS1",1.80831961526035,5.13159534612396e-10,1.98158527981095e-08,"3 DPI",3,TRUE,"Up"
"GBP1",2.00182539872911,5.07035687392094e-08,1.81808510764879e-06,"3 DPI",3,TRUE,"Up"
"CASP1",1.39051767874487,3.88218694182772e-07,1.29923856319834e-05,"3 DPI",3,TRUE,"Up"
"IL1R2",-0.923936878421182,6.43226083872369e-07,2.01812183814956e-05,"3 DPI",3,FALSE,"None"
"STAT1",1.51223990260652,3.42332821353959e-06,8.75063779811144e-05,"3 DPI",3,TRUE,"Up"
"CD40LG",-0.621044143785869,2.49993290899527e-06,7.38215482538603e-05,"3 DPI",3,FALSE,"None"
"TNFRSF11A",-0.834638297672763,3.24303197050888e-06,8.75063779811144e-05,"3 DPI",3,FALSE,"None"
"SOCS3",-0.661364659335641,3.48630987972567e-06,8.75063779811144e-05,"3 DPI",3,FALSE,"None"
"HSH2D",1.00889285789131,1.68164477090577e-05,0.000401993178568902,"3 DPI",3,TRUE,"Up"
"CTSC",-0.569065012774447,1.85514166474544e-05,0.000423309598046459,"3 DPI",3,FALSE,"None"
"CXCR3",-0.775790506156567,2.09724447478725e-05,0.000457746402757912,"3 DPI",3,FALSE,"None"
"CD38",0.914311648045345,3.08325612703926e-05,0.000644914406572379,"3 DPI",3,FALSE,"None"
"PML",1.2529191669969,3.82777612794126e-05,0.000711682820824634,"3 DPI",3,TRUE,"Up"
"LILRB5",-0.574222653420775,3.26402721488969e-05,0.00065541666474985,"3 DPI",3,FALSE,"None"
"PTGS1",-0.56038277045266,3.45243910892756e-05,0.000666586320262167,"3 DPI",3,FALSE,"None"
"CR1",-0.518259711844781,4.55180987792281e-05,0.000816074485256161,"3 DPI",3,FALSE,"None"
"CD274",1.1266953059843,9.74985899085819e-05,0.0015668037150722,"3 DPI",3,TRUE,"Up"
"IFI16",1.22582503874072,0.000106934705327694,0.00157885947277949,"3 DPI",3,TRUE,"Up"
"EIF2AK2",1.03807675592789,0.000117695210515524,0.00168808559082266,"3 DPI",3,TRUE,"Up"
"CLEC4E",-0.815360002044259,0.000102997056966898,0.0015668037150722,"3 DPI",3,FALSE,"None"
"GTF3C1",-0.492280689529182,8.15913167581988e-05,0.00141237382802123,"3 DPI",3,FALSE,"None"
"TAPBP",0.998856333692434,0.000159972643782469,0.00211332282049473,"3 DPI",3,FALSE,"None"
"ITGA6",-0.495909130307671,9.39100414463792e-05,0.0015668037150722,"3 DPI",3,FALSE,"None"
"LILRA1",-0.489850981085092,0.000100919772045521,0.0015668037150722,"3 DPI",3,FALSE,"None"
"IL1R1",-0.71245105518191,0.000136073473699323,0.00189746899436278,"3 DPI",3,FALSE,"None"
"BLNK",-0.910298541927628,0.000150842627534842,0.0020465675411484,"3 DPI",3,FALSE,"None"
"REPS1",-0.60642625550294,0.00019863623490605,0.00249288474807092,"3 DPI",3,FALSE,"None"
"ICOS",-0.529043859820018,0.000171610089581002,0.002208929871017,"3 DPI",3,FALSE,"None"
"ATG12",0.769834799956198,0.000259057297208675,0.00276695240848414,"3 DPI",3,FALSE,"None"
"FLT3LG",0.823267176454127,0.00031864299542468,0.00319917567406379,"3 DPI",3,FALSE,"None"
"TIRAP",-0.479422834975007,0.000212298757400189,0.00259531439908549,"3 DPI",3,FALSE,"None"
"CD1A",-0.487307775389011,0.000223742908628413,0.00259531439908549,"3 DPI",3,FALSE,"None"
"GUSB",-0.465483971710807,0.000226655416892889,0.00259531439908549,"3 DPI",3,FALSE,"None"
"CD163",-0.479657301117463,0.000235816731206167,0.00259531439908549,"3 DPI",3,FALSE,"None"
"TCF7",-0.480913107401556,0.000236568428872519,0.00259531439908549,"3 DPI",3,FALSE,"None"
"PLAUR",-0.468074093722342,0.000237817654099467,0.00259531439908549,"3 DPI",3,FALSE,"None"
"CYBB",0.996664124218611,0.000461393944993673,0.00407231507158615,"3 DPI",3,FALSE,"None"
"HSPB2",-0.504456430959109,0.000286798962327739,0.0029994391476776,"3 DPI",3,FALSE,"None"
"TRAF2",-0.469636241297592,0.000311156437418766,0.00318776595069838,"3 DPI",3,FALSE,"None"
"TNFSF14",-0.478637384331396,0.000332331638230177,0.00327118592924606,"3 DPI",3,FALSE,"None"
"MAF",-0.488275608675528,0.000339083194134677,0.00327345698953092,"3 DPI",3,FALSE,"None"
"IKZF3",0.974943139812336,0.000658723004275099,0.00479244852385652,"3 DPI",3,FALSE,"None"
"ATG7",-0.455523016802822,0.000356336908105125,0.00331363808447751,"3 DPI",3,FALSE,"None"
"BTLA",-0.472816032157817,0.000356447124625071,0.00331363808447751,"3 DPI",3,FALSE,"None"
"CD69",-0.462448719718633,0.000413223750623092,0.00377160586932349,"3 DPI",3,FALSE,"None"
"MAFG",-0.457109131208797,0.000464663767026474,0.00407231507158615,"3 DPI",3,FALSE,"None"
"JUN",-0.446543652384221,0.000470506522215132,0.00407231507158615,"3 DPI",3,FALSE,"None"
"GFI1",-0.492568053327648,0.000480348681967133,0.00407332784201754,"3 DPI",3,FALSE,"None"
"CCR7",-0.534818082011653,0.000494039212113645,0.00407332784201754,"3 DPI",3,FALSE,"None"
"TRAF6",-0.438092049788498,0.000502621840290272,0.00407332784201754,"3 DPI",3,FALSE,"None"
"TNFRSF13C",-0.451283206022413,0.000503080331085832,0.00407332784201754,"3 DPI",3,FALSE,"None"
"BST2",0.980368489708232,0.000961022489465696,0.00608723081710687,"3 DPI",3,FALSE,"None"
"ALOX12",-0.457002780441644,0.000547454036468211,0.00432496603667622,"3 DPI",3,FALSE,"None"
"IRAK2",-0.448959588728541,0.000551390092325255,0.00432496603667622,"3 DPI",3,FALSE,"None"
"TCF4",-0.46407328743966,0.000585509467467076,0.00452193465643803,"3 DPI",3,FALSE,"None"
"CASP2",-0.46607840663065,0.000627576846341478,0.00470905523977218,"3 DPI",3,FALSE,"None"
"PDCD2",-0.430535884583642,0.000635590894410491,0.00470905523977218,"3 DPI",3,FALSE,"None"
"CD24",-0.430653301752345,0.000637879992638463,0.00470905523977218,"3 DPI",3,FALSE,"None"
"IRF7",0.951658861550502,0.00122389347265618,0.00690330925026294,"3 DPI",3,FALSE,"None"
"NFKB2",-0.434918681979596,0.000670495285943701,0.00480840905062483,"3 DPI",3,FALSE,"None"
"PDCD1",-0.425965472409574,0.000718202785695673,0.0050779971608342,"3 DPI",3,FALSE,"None"
"MME",-0.691668604083186,0.00105564788662553,0.00611135750866116,"3 DPI",3,FALSE,"None"
