Gene,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample025,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058
ABCB1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,58.76,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ABL1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ADA,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.86,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AGER,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AHR,20,20,20,20,20,20,20,20,20,23.86,20,20,48.3,20,32.07,20,20,47.59,23.89,34.77,20.68,20,30.33,20,28.44,20,20,20,20,20,20,20,20,20,20,20,20,20,45.3,20,46.93,20,20,20,28.46,33.27,23.39,20,29.88,20,20.41,20,20,20,20,20,33.67,32.33
AICDA,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AIRE,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AKT3,237.73,466.26,207.52,669.42,352.25,567.44,1040.51,736.88,547.26,991.76,498.8,299.73,581.06,475.11,565.64,869.54,479.97,988.67,574.39,746.84,342.9,718.27,1153.67,472.72,591.49,408.4,560,553.75,544.19,847.03,659.94,398.7,686.45,699.7,629.01,775.21,539.51,960.34,1125.46,686.66,693.74,614.84,544.6,639.18,1099.52,364.83,1029.15,378.78,843.92,433.44,432.85,494.65,20,20,20,1010.34,1170.3,875.09
ALOX12,20,20,20,20,20,20,20,20,20,30.88,20,20,20,20,26.94,20,20,20,20,27.82,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,33.2,51.26,20,20,20,20,20,20,20,20,20,20,20,20
ALOX15,20,53.51,20,20,20,20,79.55,20,20,62.47,20,20,45.46,20,62.85,126.31,20,20,27.72,68.15,31.88,20,23.7,20,69.44,20,63.23,20,20,85.33,20,20,68.65,81.36,69.17,20,81.17,101.73,20,65.9,75.5,20,77.8,60.12,74,58.35,137,20,22.67,59.73,51.26,20,20,20,20,20,20,20
